; Sample;Value
; 2911; 0.60000002384185791
; 2936; 0.60000002384185791
; 2961; 0.60000002384185791
; 2986; 0.699999988079071
; 3011; 0.699999988079071
; 3036; 0.699999988079071
; 3061; 0.699999988079071
; 3086; -2.9000000953674316
; 3111; -2.9000000953674316
; 3136; -2.9000000953674316
; 3161; -2.9000000953674316
; 3186; -1.7999999523162842
; 3211; -1.7999999523162842
; 3236; -1.7999999523162842
; 3261; -1.7999999523162842
; 3286; -5.3000001907348633
; 3311; -5.3000001907348633
; 3336; -5.3000001907348633
; 3361; -5.5
; 3386; -5.5
; 3411; -5.5
; 3436; -5.5
; 3461; -3.7999999523162842
; 3486; -3.7999999523162842
; 3511; -3.7999999523162842
; 3536; -3.7999999523162842
; 3561; -6.1999998092651367
; 3586; -6.1999998092651367
; 3611; -6.1999998092651367
; 3636; -6.1999998092651367
; 3661; -1.7999999523162842
; 3686; -1.7999999523162842
; 3711; -1.7999999523162842
; 3736; -1.7999999523162842
; 3761; 1.3999999761581421
; 3786; 1.3999999761581421
; 3811; 1.3999999761581421
; 3836; 1.3999999761581421
; 3861; 2.7000000476837158
; 3886; 2.7000000476837158
; 3911; 2.7000000476837158
; 3936; 2.7000000476837158
; 3961; 1
; 3986; 1
; 4011; 1
; 4036; 1
; 4061; 0.40000000596046448
; 4086; 0.40000000596046448
; 4111; 0.40000000596046448
; 4136; -4.6999998092651367
; 4161; -4.6999998092651367
; 4187; -4.6999998092651367
; 4211; -4.6999998092651367
; 4236; -7
; 4261; -7
; 4286; -7
; 4311; -7
; 4336; -5.5999999046325684
; 4361; -5.5999999046325684
; 4386; -5.5999999046325684
; 4411; -5.5999999046325684
; 4436; -4.4000000953674316
; 4461; -4.4000000953674316
; 4486; -4.4000000953674316
; 4511; -4.4000000953674316
; 4536; -3.7000000476837158
; 4561; -3.7000000476837158
; 4586; -3.7000000476837158
; 4611; -3.7000000476837158
; 4636; -0.800000011920929
; 4661; -0.800000011920929
; 4686; -0.800000011920929
; 4711; -0.800000011920929
; 4736; 1.7999999523162842
; 4761; 1.7999999523162842
; 4786; 1.7999999523162842
; 4811; 1.7999999523162842
; 4836; 0.800000011920929
; 4861; 0.800000011920929
; 4886; 0.800000011920929
; 4911; 0.30000001192092896
; 4936; 0.30000001192092896
; 4961; 0.30000001192092896
; 4986; 0.30000001192092896
; 5011; -0.800000011920929
; 5036; -0.800000011920929
; 5061; -0.800000011920929
; 5086; -0.800000011920929
